category,headline,short_description,content
Entertainment,Ed Sheeran Just Revealed A Weird Fact About Beyoncé,She's still ***Flawless to us.,Ed Sheeran Just Revealed A Weird Fact About Beyoncé She's still ***Flawless to us.
Politics,Jailed Saudi Blogger Raif Badawi Honored by PEN Canada,"So, proudly, claims the official website of the Royal Embassy of Saudi Arabia in Washington, D.C. If you were to ask imprisoned liberal Saudi writer Raif Badawi, you may hear otherwise. Or not. He may not be able to tell you what he really thinks.","Jailed Saudi Blogger Raif Badawi Honored by PEN Canada So, proudly, claims the official website of the Royal Embassy of Saudi Arabia in Washington, D.C. If you were to ask imprisoned liberal Saudi writer Raif Badawi, you may hear otherwise. Or not. He may not be able to tell you what he really thinks."
Business,How Clean Energy Works for Colorado,"Smart clean energy policies like Colorado's percent renewable energy portfolio standard and the now-expired federal production tax credit for wind have created tens of thousands of jobs, attracted billions in new investment and generated serious economic growth in the state.","How Clean Energy Works for Colorado Smart clean energy policies like Colorado's percent renewable energy portfolio standard and the now-expired federal production tax credit for wind have created tens of thousands of jobs, attracted billions in new investment and generated serious economic growth in the state."
Entertainment,"The Empire of ""DMK""","In the 90s girl groups dominated the music charts, whether it was En Vogue, Xscape, SWV, and later Destiny's Child, the music world was strong with female empowerment.","The Empire of ""DMK"" In the 90s girl groups dominated the music charts, whether it was En Vogue, Xscape, SWV, and later Destiny's Child, the music world was strong with female empowerment."
Health,Nutrition Tips: Surprising Dos And Don'ts Of Salads,"By Tina Haupert When I first started losing weight, I thought salads were a ""safe"" choice since they were made with lots","Nutrition Tips: Surprising Dos And Don'ts Of Salads By Tina Haupert When I first started losing weight, I thought salads were a ""safe"" choice since they were made with lots"
Sports,Ronda Rousey's Mother Blasts Her Coach In Brutal Takedown,"""She trained with an idiot who's a fraud.""","Ronda Rousey's Mother Blasts Her Coach In Brutal Takedown ""She trained with an idiot who's a fraud."""
Politics,It Sure Seems Like Paul Manafort Is Misleading A Federal Judge So He Can Winter In Florida,"The former Trump campaign manager says he's working with a company developing secure, virtually indestructible phones. That's questionable.","It Sure Seems Like Paul Manafort Is Misleading A Federal Judge So He Can Winter In Florida The former Trump campaign manager says he's working with a company developing secure, virtually indestructible phones. That's questionable."
Entertainment,Swipe Alt-Right On Conan O'Brien's Spoof White Supremacist Dating App,"""There’s way more women than I’ve met at our rallies.""","Swipe Alt-Right On Conan O'Brien's Spoof White Supremacist Dating App ""There’s way more women than I’ve met at our rallies."""
Health,The Essential Holiday Gift Guide For Fitness Buffs,"In honor of the holidays, Greatist has picked 20 fitness-inspired gifts we'd love to unwrap this festive season. Some of","The Essential Holiday Gift Guide For Fitness Buffs In honor of the holidays, Greatist has picked 20 fitness-inspired gifts we'd love to unwrap this festive season. Some of"
Entertainment,Lena Dunham Slams Kanye West's 'Disturbing' 'Famous' Video,"""I'm so sick of showing up to the party angry.""","Lena Dunham Slams Kanye West's 'Disturbing' 'Famous' Video ""I'm so sick of showing up to the party angry."""
Entertainment,Here’s What’s Leaving And Arriving On Netflix In December 2017,"Dave Chappelle, ""The Crown"" and many other Netflix originals are coming to the service.","Here’s What’s Leaving And Arriving On Netflix In December 2017 Dave Chappelle, ""The Crown"" and many other Netflix originals are coming to the service."
Politics,Anderson Cooper Hits Trump With A Hard Truth About How He'll Go Down In History,"Donald Trump accounts for half the impeachments in the history of the nation, the CNN host noted.","Anderson Cooper Hits Trump With A Hard Truth About How He'll Go Down In History Donald Trump accounts for half the impeachments in the history of the nation, the CNN host noted."
Business,How You Can Master Social Selling to Get in Front of Any Customer,If you run a small-business or a small marketing team you can't market like McDonalds or probably even your largest competitor. So why bother trying?,How You Can Master Social Selling to Get in Front of Any Customer If you run a small-business or a small marketing team you can't market like McDonalds or probably even your largest competitor. So why bother trying?
Entertainment,Queen Latifah Breaks Silence On Chris Noth's Firing After Sexual Assault Allegations,"Noth was dropped from CBS's ""The Equalizer"" after multiple women came forward with allegations of sexual assault against him.","Queen Latifah Breaks Silence On Chris Noth's Firing After Sexual Assault Allegations Noth was dropped from CBS's ""The Equalizer"" after multiple women came forward with allegations of sexual assault against him."
Sports,LeBron James Says Orlando Shooting Puts Importance Of Sports In Perspective,"""It's just a small matter of what reality really is.""","LeBron James Says Orlando Shooting Puts Importance Of Sports In Perspective ""It's just a small matter of what reality really is."""
Entertainment,Trevor Noah Breaks Down Why Sean Spicer Didn't Land A TV Job,"It's less about his credibility and more to do with something else, says Noah.","Trevor Noah Breaks Down Why Sean Spicer Didn't Land A TV Job It's less about his credibility and more to do with something else, says Noah."
Politics,Tuesday's Morning Email: Melania Trump Under Fire For Plagiarism,Parts of her GOP convention speech sounded an awful like Michelle Obama's from 2008.,Tuesday's Morning Email: Melania Trump Under Fire For Plagiarism Parts of her GOP convention speech sounded an awful like Michelle Obama's from 2008.
Business,4 Ways A Bad Boss Hurts Productivity,,4 Ways A Bad Boss Hurts Productivity 
Health,Drinking Coffee Tied To Lower Risk Of Death,Drink up. ☕,Drinking Coffee Tied To Lower Risk Of Death Drink up. ☕
Politics,Debbie Wasserman Schultz: 'I Shouldn't Have Used The Words I Used',,Debbie Wasserman Schultz: 'I Shouldn't Have Used The Words I Used' 
Business,This Political Polarization Is Really Bad for America,"As the year comes to an end, dysfunctional Congressional politics continues to dominate the headlines, and rightly so. If left to fester, the related inability of Congress to step up to economic responsibilities would risk being associated with more than just sluggish growth or persistently high unemployment. It would also undermine the ability of many citizens to realize the American dream.","This Political Polarization Is Really Bad for America As the year comes to an end, dysfunctional Congressional politics continues to dominate the headlines, and rightly so. If left to fester, the related inability of Congress to step up to economic responsibilities would risk being associated with more than just sluggish growth or persistently high unemployment. It would also undermine the ability of many citizens to realize the American dream."
Politics,"At Least Two American Soldiers Killed, Two Wounded By Afghan Commando","An Afghan commando opened fire on the American soldiers in eastern Afghanistan, a local official said.","At Least Two American Soldiers Killed, Two Wounded By Afghan Commando An Afghan commando opened fire on the American soldiers in eastern Afghanistan, a local official said."
Tech,The Hall of Shame -- Who Is Failing the Severely Ill?,"The mental health industry works very hard to convince government to throw money at ""mental health"" problems that are very broadly and loosely defined, instead of having a clear focus on delivering basic services to the seriously ill.","The Hall of Shame -- Who Is Failing the Severely Ill? The mental health industry works very hard to convince government to throw money at ""mental health"" problems that are very broadly and loosely defined, instead of having a clear focus on delivering basic services to the seriously ill."
Health,47 Ways To Boost Brainpower Now,"What do chewing gum, laughing and lifting weights have in common? They all benefit the brain in a big way. Follow these 47","47 Ways To Boost Brainpower Now What do chewing gum, laughing and lifting weights have in common? They all benefit the brain in a big way. Follow these 47"
